Number,Brand,Product_Name,Prices,Category
1,AMD,AMD Ryzen Threadripper 3990X 64-Core 2.9 GHz Socket sTRX4 280W 100-100000163WOF Desktop Processor,"1,588.99",CPU
2,AMD,AMD Desktop Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler,"1,323.99",CPU
3,AMD,AMD Ryzen 9 3950X 16-Core 3.5 GHz Socket AM4 105W 100-100000051WOF Desktop Processor,812.99,CPU
4,AMD,AMD RYZEN 5 3600 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor,"1,134.99",CPU
5,AMD,AMD RYZEN 9 3900X 12-Core 3.8 GHz (4.6 GHz Max Boost) Socket AM4 105W 100-100000023BOX Desktop Processor,"7,253.99",CPU
6,AMD,AMD RYZEN 7 3800X 8-Core 3.9 GHz (4.5 GHz Max Boost) Socket AM4 105W 100-100000025BOX Desktop Processor,"1,247.99",CPU
7,AMD,AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022BOX Desktop Processor,359.99,CPU
8,AMD,AMD RYZEN 7 3700X 8-Core 3.6 GHz (4.4 GHz Max Boost) Socket AM4 65W 100-100000071BOX Desktop Processor,907.99,CPU
9,AMD,AMD Ryzen Threadripper 3970X 32-Core 3.7 GHz Socket sTRX4 280W 100-100000011WOF Desktop Processor,"1,486.99",CPU
10,INTEL,INTEL Core i7-9700F Coffee Lake 8-Core 3.0 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 65W BX80684i79700F Desktop Processor Without Graphics,"2,078.99",CPU
11,AMD,AMD RYZEN 3 3200G 4-Core 3.6 GHz (4.0 GHz Max Boost) Socket AM4 65W YD3200C5FHBOX Desktop Processor,321.99,CPU
12,INTEL,INTEL Core i5-9600K Coffee Lake 6-Core 3.7 GHz (4.6 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I59600K Desktop Processor INTEL UHD Graphics 630,693.79,CPU
13,INTEL,INTEL Core i7-9700K Coffee Lake 8-Core 3.6 GHz (4.9 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I79700K Desktop Processor INTEL UHD Graphics 630,301.99,CPU
14,INTEL,"INTEL Core i9-9900K Coffee Lake 8-Core, 16-Thread, 3.6 GHz (5.0 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I99900K Desktop Processor INTEL UHD Graphics 630",750.99,CPU
15,INTEL,INTEL Core i3-9100F Coffee Lake 4-Core 3.6 GHz (4.2 GHz Turbo) LGA 1151 (300 Series) 65W BX80684i39100F Desktop Processor Without Graphics,794.99,CPU
16,INTEL,INTEL Core I3-9350KF Coffee Lake 4-Core 4.0 GHz (4.6 GHz Turbo) LGA 1151 (300 Series) 91W BX80684I39350KF Desktop Processor Without Graphics,"1,246.99",CPU
17,AMD,"AMD Athlon 240GE 2-Core, 4-Thread, 3.5 GHz Base, Socket AM4 35W YD240GC6FBBOX with Radeon Vega 3 Graphics Desktop Processor",227.11,CPU
18,INTEL,INTEL Core i3-8350K Coffee Lake Quad-Core 4.0 GHz LGA 1151 (300 Series) 91W BX80684I38350K Desktop Processor INTEL UHD Graphics 630,491.99,CPU
19,INTEL,INTEL Core i5-9600KF Coffee Lake 6-Core 3.7 GHz (4.6 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I59600KF Desktop Processor Without Graphics,718.99,CPU
20,AMD,AMD RYZEN 7 1700 8-Core 3.0 GHz (3.7 GHz Turbo) Socket AM4 65W YD1700BBAEBOX Desktop Processor,"3,721.99",CPU
21,INTEL,INTEL Pentium Gold G5400 Coffee Lake Dual-Core 3.7 GHz LGA 1151 (300 Series) 58W BX80684G5400 Desktop Processor INTEL UHD Graphics 610,"2,570.99",CPU
22,INTEL,INTEL Core i3-8100 Coffee Lake Quad-Core 3.6 GHz LGA 1151 (300 Series) 65W BX80684I38100 Desktop Processor INTEL UHD Graphics 630,"6,311.99",CPU
23,INTEL,INTEL Core i5-8400 Coffee Lake 6-Core 2.8 GHz (4.0 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I58400 Desktop Processor INTEL UHD Graphics 630,238.46,CPU
24,AMD,"AMD 2nd Gen Ryzen Threadripper 24-Core, 48-Thread, 2970WX 4.2 GHz Max Boost (3.0 GHz Base), Socket sTR4 250W YD297XAZAFWOF Desktop Processor","1,058.99",CPU
25,AMD,"AMD 2nd Gen Ryzen Threadripper 2950X, 16-Core, 32-Thread, 4.4 GHz Max Boost (3.5 GHz Base), Socket sTR4 180W YD295XA8AFWOF Desktop Processor",684.9,CPU
26,AMD,"AMD 2nd Gen RYZEN Threadripper 2990WX 32-Core, 64-Thread, 4.2 GHz Max Boost (3.0 GHz Base), Socket sTR4 250W YD299XAZAFWOF Desktop Processor",,CPU
27,INTEL,INTEL Celeron G4920 Coffee Lake Dual-Core 3.2 GHz LGA 1151 (300 Series) 54W BX80684G4920 Desktop Processor INTEL UHD Graphics 610,"3,515.99",CPU
28,AMD,AMD 1st Gen RYZEN Threadripper 1920X 12-Core / 24 Threads 3.5 GHz Socket sTR4 180W YD192XA8AEWOF Desktop Processor,822.99,CPU
29,INTEL,INTEL Core i5-9400F Coffee Lake 6-Core 2.9 GHz (4.1 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I59400F Desktop Processor Without Graphics,"1,019.99",CPU
